"V1","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","total_score"
1003,5,4,5,3,4,4,5,5,5,3,3,3,4,3,4,4,5,5,3,2,4,1,2,2,3,4,4,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,4,3,5,3,4,5,4,2,2,2,4,4,2,3,5,5,5,1,2,3,3,1,1,1,1,2,21
1004,5,3,4,3,4,5,4,4,5,2,1,1,5,5,5,3,5,5,1,2,4,2,2,2,1,2,4,4,4,NA,NA,NA,NA,NA,NA,1,5,4,5,4,3,4,5,2,3,2,4,4,5,2,2,4,3,3,5,5,4,4,4,3,4,2,2,1,1,6,1,2,21
1005,4,3,3,2,4,3,4,3,4,4,3,2,4,2,3,2,4,4,2,2,4,3,2,2,3,4,4,5,4,1,NA,NA,NA,NA,NA,NA,5,5,4,5,3,3,3,2,4,2,4,3,5,2,2,4,5,5,5,5,2.3,1,3,4,2,2,1,1,2,1,1,2,14.6
1006,4,3,5,5,4,4,5,5,5,4,3,3,4,5,5,5,3,4,4,4,3,2,3,3,3,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,5,4,4,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,3,4,4,3,3,3,4,1,1,11,1,2,20
1007,5,3,4,4,4,4,5,3,3,3,4,3,3,5,4,3,4,3,5,3,3,2,2,2,3,2,2,4,3,NA,NA,1,NA,1,1,NA,5,4,4,3,4,3,3,3,3,4,3,4,2,2,2,3,4,4,4,5,2,2,4,3,4,4,2,1,2,2,1,2,19
1008,4,3,3,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,2,3,3,4,4,3,NA,NA,1,NA,NA,NA,NA,3,4,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,2,2,2,1,2,1,1,2,14
1009,5,4,4,3,4,4,4,3,4,3,2,2,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,2,4,3.5,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,2,1,1,1,1,2,18
1010,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,1,1,2,18
1011,4,3,3,2,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,3,4,5,5,5,4,4,2,5,3,5,4,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,1,2,1,1,2,18
1012,4,4,4,5,3,3,5,3,3,4,4,4,4,5,4,4,4,4,3,4,3,3,4,3,4,3,3,4,3,NA,1,NA,NA,1,NA,NA,3,2,4,4,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,2,2,2,3,4,3,2,3,2,2,1,2,16
1013,4,4,4,4,5,5,4,4,5,3,3,3,5,5,4,4,5,5,5,4,4,3,4,3,4,4,5,4,4,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,4,5,3,4,4,5,4,4,4,4,4,4,4,5,5,3,3,3,3,3,3,3,1,2,2,1,2,18
1014,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,3,3,3,4,4,4,5,3,4,4,5,3,NA,NA,NA,NA,NA,NA,1,5,4,4,4,3,4,4,3,5,2,4,3,4,4,3,3,4,4,5,5,3,2,2,3,3,3,1,1,2,11,1,2,16
1015,5,4,4,4,3,4,5,3,3,4,3,3,4,4,4,4,3,4,3,3,4,3,3,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,4,4,4,2,5,2,4,3,3,4,4,4,4,4,5,3,1,3,3,2,3,3,3,1,2,2,1,2,15
1016,4,3,3,4,4,4,4,3,4,4,3,3,4,5,4,4,4,3,4,4,3,3,4,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,3,4,5,5,3,4,3,4,4,4,3,4,4,3,4,5,5,3,2,3,3,2,2,2,1,2,1,1,2,15
1017,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,5,5,4,4,5,4,3,5,5,4,1,NA,1,NA,1,NA,NA,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,3,3,3,5,3,4,4,4,4,4,7,1,2,9,1,2,23
1018,5,5,5,3,4,5,5,3,4,4,3,3,3,4,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,1,1,1,1,1,1,NA,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,5,1,2,6,1,2,21
1019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,5,5,5,5,3,3,3,3,3,3,2,1,2,1,1,2,18
1020,4,4,4,3,4,4,4,4,5,4,4,4,5,5,5,5,5,5,3,5,5,1,3,2,3,3,5,5,5,1,1,1,1,1,1,NA,5,5,4,5,4,3,3,3,3,2,3,4,4,4,4,5,5,4,5,5,3,1,2,3,3,3,2,1,2,2,1,1,15
1021,4,4,4,5,4,4,4,4,4,4,2,3,3,4,4,4,4,4,3.4,4,4,2,4,2,4,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,3,4,3,4,5,5,5,5,5,5,5,4,4,4,3,4,4,6,1,2,1,1,2,23
1022,4,3,4,3,3,4,5,4,4,3,4,3,4,5,4,4,4,4,3,4,3,2,3,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,4,3,5,3,4,4,4,3,4,4,5,4,4,4,2,2,3,4,4,3,3,1,2,2,1,2,18
1023,5,4,4,4,3,5,4,4,4,5,4,4,3,5,4,4,4,5,4,4,4,2,3,3,3,4,4,4,5,NA,NA,1,NA,NA,NA,NA,5,5,4,5,5,5,5,3,3,3,4,4,4,3,3,3,4,4,4,5,4,3,4,3,3,2,3,1,2,2,1,2,19
1024,5,4,4,5,5,5,5,5,5,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,NA,NA,1,NA,4,4,4,4,3,3,4,3,3,3,3,4,4,3,3,3,5,4,5,5,2,2,2,3,3,4,2,1,2,3,1,2,16
1025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,3,1,2,1,1,2,18
1026,5,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,4,4,5,2,2,2,2,2,2,2,2,2,2,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,1,1,1,5,5,5,1,1,2,1,1,2,18
1027,5,5,4,3,4,4,5,4,3,3,3,2,3,5,5,4,4,4,3,4,4,1,3,1,1,3,5,5,4,1,NA,1,NA,NA,NA,NA,4,5,3,4,4,3,4,2,3,4,5,4,4,3,4,4,5,5,3,2,3,2,2,3,2,2,4,1,1,1,1,2,14
1028,4,3,3,3,3,3,4,3,4,3,3,2,4,4,4,3,4,4,3,2,3,4,4,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,1,4,5,4,4,3,3,4,3,4,4,3,4,4,3,4,4,5,4,5,3,3,3,3,3,3,3,3,1,2,2,1,2,18
1029,4,4,4,4,4,4,4,4,4,3,3,2,3,3,4,3,4,4,4,3,3,3,4,4,3,4,4,4,4,1,NA,NA,NA,NA,NA,NA,4,4,4,5,3,4,5,4,4,3,3,3,3,4,4,4,5,5,5,5,4,3,3,3,3,3,3,1,2,1,1,2,19
1030,4,4,3,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,4,3,3,2,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,2,5,2,2,3,4,3,3,3,4,4,4,4,3,3,3,3,3,3,2,1,2,1,1,2,18
1031,5,3,3,4,4,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,2,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,5,3,3,5,2,5,2,3,3,3,3,3,3,4,4,5,5,1,3,3,1,2,3,1,1,2,2,1,2,13
1032,4,3,4,4,4,4,5,5,3,3,3,3,3,4,4,5,5,3,3,4,4,1,2,2,3,2,5,4,3,1,1,1,NA,1,NA,NA,5,5,5,5,4,3,4,3,4,3,5,3,4,3,4,4,5,4,3,5,4,4,4,3,3,3,2,1,2,1,1,2,21
1033,5,4,4,5,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,2,3,3,4,4,3,NA,NA,1,NA,1,NA,NA,4,4,4,5,4,3,3,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,1,2,9,1,2,18
1034,5,4,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,5,5,NA,NA,NA,NA,NA,1,NA,5,5,4,5,5,4,4,4,5,3,5,5,5,5,5,5,5,5,4,4,2,3,3,4,4,4,3,1,1,5,1,1,20
1035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3,3,3,3,4,4,3,1,1,NA,NA,NA,NA,NA,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,4,4,1,11,1,4,16
1036,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,NA,1,NA,NA,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,2,3,2,4,4,4,3,3,2,3,1,2,19
1037,5,4,4,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,2,3,2,3,3,4,5,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,5,4,4,1,5,5,5,5,5,3,3,4,5,3,5,5,3,2,2,3,1,1,2,1,2,1,1,2,12
1038,4,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,2,4,3,4,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,3,3,4,4,1,3,1,1,2,2,2,2,2,2,2,2,3,1,2,3,1,2,2,2,1,2,1,1,2,11
1039,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,1,1,2,3,1,2,18
1040,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,1,NA,NA,NA,NA,5,4,4,4,3,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,1,2,4,1,2,1,1,2,16
1041,5,4,4,4,4,3,5,5,5,3,4,4,4,5,4,4,5,3,4,4,3,3,4,3,3,4,3,3,3,NA,NA,NA,NA,NA,NA,1,5,3,3,5,3,5,5,3,4,2,2,2,3,3,3,3,4,4,3,5,4,4,4,2,2,4,4,1,3,2,1,2,20
1042,4,4,4,4,4,4,5,3,5,3,3,3,4,4,5,5,4,4,4,3,4,2,3,1,3,3,5,5,3,NA,NA,NA,NA,NA,NA,1,5,4,4,4,4,4,4,3,4,3,4,4,5,5,5,5,5,4,5,5,4,3,4,3,3,3,4,1,2,3,1,2,20
1043,5,4,4,4,4,3,4,3,5,3,2,3,3,3,3,3,3,3,4,3,4,3,3,3,2,2,4,4,4,NA,NA,NA,NA,NA,NA,1,5,4,3,5,3,4,4,2,3,2,4,3,5,2,3,3,3,3,2,2,2,3,3,3,3,4,4,1,1,2,1,2,18
1044,4,4,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,4,2,2,2,3,3,2,NA,NA,NA,NA,NA,NA,1,5,5,4,4,3,4,5,3,4,3,3,3,4,4,4,4,4,4,5,4,4,2,4,3,3,3,3,1,2,1,1,2,19
1045,4,4,4,5,4,5,4,4,4,3,3,2,4,4,3,4,4,3,2,2,4,2,1,1,1,3,5,4,3,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,1,1,2,1,1,1,1,2,8
1046,5,4,4,4,5,5,5,4,4,3,3,4,4,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,3,5,3,5,4,5,3,5,4,5,5,4,5,2,3,3,3,3,3,2,1,2,1,1,2,17
1047,4,3,4,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,5,5,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,3,4,1,2,1,1,2,17
1048,5,3,5,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,5,1,1,6,1,2,18
1049,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,2,4,2,3,3,5,5,5,NA,1,NA,NA,NA,NA,NA,3,4,3,4,3,4,5,3,3,3,3,3,5,4,4,4,4,4,5,5,3,4,4,3,3,3,3,1,2,1,1,2,20
1050,4,2,3,4,3,3,4,2,4,4,3,3,4,3,5,4,5,4,4,4,4,2,3,3,4,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,5,3,4,4,3,3,3,3,3,4,3,5,4,4,4,4,4,3,4,3,3,3,3,2,4,1,1,2,1,1,2,18
1051,5,5,3,3,4,4,4,3,3,3,3,3,3,3,5,3,3,4,3,3,4,3,3,3,3,3,5,3,3,NA,1,1,NA,NA,1,NA,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,3,1,2,18
1052,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,NA,NA,1,NA,1,NA,NA,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,3,3,3,3,3,3,2,1,2,5,1,2,18
1053,5,5,4,4,4,5,5,4,4,3,3,3,3,4,3,4,4,4,3,3,4,3,3,3,4,3,3,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,3,5,5,5,2,5,5,5,2,4,3,4,5,3,2,1,2,2,1,4,4,6,1,2,1,1,2,14
1054,5,5,5,1,5,5,5,5,5,5,5,3.22222222222222,5,5,5,5,4.8,3,5,5,5,1,3,1,5,1,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,10
1055,4,4,3,4,5,4,4,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,2,3,3,5,4,4,NA,NA,NA,NA,NA,NA,1,5,4,4,4,3,4,5,2,5,3,3,3,4,4,3,4,4,4,4,5,2,2,3,3,3,3,1,1,2,1,1,2,16
1056,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,1,2,2,1,6,18
1057,4,4,3,4,4,4,3,3,3,4,3,4,2,4,4,3,3,3,3,2,3,4,3,2,2,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,3,3,4,3,4,5,3,5,5,3,4,4,4,5,5,3,3,4,4,3,4,3,2,1,2,1,1,2,21
1058,3,4,3,5,4,4,5,5,4,3,3,4,4,5,4,4,4,5,4,4,4,3,4,3,4,4,4,4,4,NA,NA,NA,NA,1,1,NA,4,4,4,5,4,4,5,5,4,4,4,3,4,3,4,3,4,5,3,4,3,3,3,3,3,3,3,1,2,6,1,2,18
1059,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,4,5,3,3,2,4,4,4,3,4,4,5,5,5,5,4,4,4,2,3,3,5,1,2,2,1,2,20
1060,5,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,3,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,5,4,1,1,1,1,2,22
1061,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,2,3,2,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,1,2,4,1,2,12
1062,5,5,4,5,4,3,4,4,4,3,3,3,4,5,4,5,5,4,4,3,4,4,3,2,4,3,4,3,3,1,1,1,1,1,1,NA,4,4,5,5,5,4,4,3,4,4,4,4,4,3,4,3,4,4,4,3,3,2,3,3,3,4,1,1,2,1,1,2,18
1063,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,4,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,5,1,2,18
1064,4,4,4,5,4,4,4,4,5,3,2,2,4,5,4,5,5,5,4,4,4,3,3,2,3,4,4,5,4,NA,NA,1,NA,NA,NA,NA,4,5,3,4,3,4,4,3,3,3,3,3,4,3,3,4,4,3,3,4,2,2,2,3,3,3,3,1,2,1,1,2,15
1065,5,5,4,4,4,4,3,3,4,3,3,2,2,3,3,3,3,3,3,2,3,3,2,3,4,4,4,3,5,NA,1,NA,NA,NA,NA,NA,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,3,2,2,1,2,1,1,2,17
1066,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,2,2,2,4,4,4,1,2,1,3,1,1,18
1067,4,4,4,4,4,4,5,4,4,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,5,4,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,1,1,2,1,1,2,18
1068,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,3,3,3,3,3,2,3,3,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,2,1,1,1,1,2,19
1069,5,5,4,5,5,5,5,4,3,3,3,3,4,4,3,5,4,4,3,4,4,3,4,3,2,2,5,5,5,NA,1,1,NA,NA,NA,NA,5,5,5,5,4,4,5,4,4,3,4,5,5,5,5,5,5,5,5,5,4,4,4,3,3,5,4,1,2,1,1,2,23
1070,5,3,3,5,5,5,5,5,4,3,3,2,4,5,4,5,4,4,4,3,4,2,3,4,5,3,5,5,4,NA,NA,NA,NA,1,NA,NA,5,5,4,4,5,3,3,3,4,2,5,5,5,3,4,3,5,4,5,5,4,2,4,2,3,2,2,1,2,1,1,2,17
1071,4,3,4,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,4,4,3,5,4,4,4,5,2,3,3,4,5,3,3,2,2,2,2,3,4,1,1,2,1,1,2,15
1072,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,1,4,4,3,4,3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,6,1,2,18
1073,4,3,3,5,5,3,3,4,3,1,1,1,4,3,3,3,3,3,3,1,3,3,4,1,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,2,4,2,3,2,3,2,2,2,3,3,3,3,3,2,2,1,2,2,1,1,2,1,1,2,12
1074,4,3,4,5,5,4,4,3,3,3,3,3,4,5,5,5,4,4,3,3,3,4,3,5,5,4,5,5,4,1,NA,NA,NA,NA,NA,NA,4,5,3,4,4,4,4,2,5,1,3,4,5,3,4,3,4,5,4,4,3,2,3,3,3,4,6,1,2,2,1,2,18
1075,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,4,1,2,1,1,2,18
1076,4,3,4,5,5,4,4,3,5,4,4,4,4,5,5,5,5,4,4,4,4,3,2,3,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,5,1,2,6,1,2,19
1077,4,4,4,4,3,4,5,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,2,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,3,3,3,4,3,5,4,5,3,5,4,4,4,4,4,3,2,3,2,2,2,2,1,2,1,1,2,14
1078,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,2,5,2,5,5,5,2,2,2,2,2,2,5,1,1,1,2,2,2,1,1,1,1,1,2,9
1079,5,3,3,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,1,2,1,1,2,18
1080,5,3,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,3,2,3,5,1,1,1,3,3,5,5,5,1,1,1,1,1,1,NA,5,4,3,4,3,4,4,3,5,1,2,5,5,4,5,3,5,5,5,5,3,3,3,3,3,3,1,1,1,1,1,2,18
1081,4,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,3,2,3,2,3,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,2,4,3,4,3,3,3,4,3,3,3,3,3,3,3,2,3,1,1,2,1,1,2,17
1082,5,5,4,4,5,5,5,4,4,3,3,3,3,4,4,4,4,3,3,2,3,3,3,3,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,5,3,2,3,3,3,3,3,3,2,1,1,1,1,2,18
1083,4,3,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,4,4,1,4,2,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,6,1,2,1,1,2,18
1084,5,3,4,5,4,4,4,5,4,3,3,3,4,4,4,4,4,3,3,3,3,2,3,3,2,4,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,3,7,1,2,3,1,2,19
1085,5,4,4,5,3,4,5,4,5,2,2,2,3,4,4,4,4,3,3,2,4,3,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,4,3,4,4,3,4,3,4,3,4,3,4,3,4,4,4,4,3,4,2,2,2,3,3,3,3,1,2,1,1,2,15
1086,5,4,4,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,4,4,5,1,1,1,4,5,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,4,5,5,3,5,3,3,4,4,4,5,5,5,5,5,5,1,1,1,2,3,3,3,1,2,1,1,2,11
1087,5,3,3,4,4,4,4,4,3,2,2,3,3,4,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,NA,NA,NA,1,NA,NA,NA,5,5,3,4,4,3,4,3,4,2,4,4,4,3,4,4,4,4,5,5,3,2,3,4,3,4,4,1,2,1,1,2,19
1088,3,3,4,5,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,3,3,3,4,2,4,4,4,3,4,4,5,4,3,3,3,3,3,3,4,3,4,1,2,1,1,2,19
